player,position,age,goals,apps,height
Petteri Forsell,Midfielder,27,52,181,1.69
Jodel Dossou,Midfielder,25,16,61,1.8
David Targamadze,Midfielder,28,20,132,1.68
Yaw Ihle Amankwah,Defender,29,7,135,1.95
Chris Malonga,Midfielder,30,31,222,1.83
Daniele Bonera,Defender,36,1,386,1.83
Joe Ledley,Midfielder,31,53,420,1.8288
Rasmus Jönsson,Forward,28,54,225,1.92
Dennis Diekmeier,Defender,28,6,223,1.88
Almen Abdi,Attacking midfielder,31,56,322,1.8
Atomu Tanaka,Midfielder,30,31,253,1.67
Nicola Sansone,Forward,26,38,208,1.75
Guido Burgstaller,Midfielder,28,58,259,1.87
Maciej Gostomski,Goalkeeper,29,0,137,1.95
Magnus Wolff Eikrem,Midfielder,27,21,158,1.82
Elliott Bennett,Midfielder,29,22,277,1.7526
Nerijus Valskis,Midfielder,30,80,238,1.82
Bongani Sandile Khumalo,Defender,31,57,255,1.84
Gökhan İnler,Central midfielder,33,28,437,1.83
Joshua Brillante,Defender,24,3,118,1.77
Shkëlzen Taib Gashi,Midfielder,29,93,251,1.82
Marcel Schäfer,Defender,33,16,342,1.84
Eduardo Jesús Vargas Rojas,Midfielder,28,77,277,1.76
Timo Hildebrand,Goalkeeper,38,0,360,1.85
Keylor Navas,Goalkeeper,31,0,254,1.85
Radoslav Zabavník,Defender,37,28,387,1.83
Thomas Spurr,Defender,30,9,339,1.8542
Aron Jóhannsson,Forward,27,73,198,1.84
Olivier Occéan,Forward,36,150,373,1.85
Emídio Rafael Augusto Silva,Defender,32,8,175,1.82
Gergely Bobál,Forward,22,31,84,1.88
Elvir Maloku,Forward,21,5,60,1.76
Benjamin Stambouli,Midfielder,27,3,155,1.8
Adil Chihi,Midfielder,30,22,160,1.83
Sead Hajrović,Defender,24,0,91,1.86
Tohouri Zahoui Constant Djakpa,Defender,31,3,174,1.77
Stephan Lichtsteiner,Defender,34,30,535,1.82
Lorenzo Crisetig,Midfielder,25,2,114,1.83
William Troost-Ekong,Defender,24,3,84,1.91
Christopher Trimmel,Midfielder,31,26,223,1.89
Felicio Brown Forbes,Forward,26,13,110,1.88
Taulant Xhaka,Defender,26,9,211,1.72
Cezary Stefan Wilk,Midfielder,32,12,225,1.8
Adam Stachowiak,Goalkeeper,31,0,206,1.9
Stefan Bell,Defender,26,11,152,1.92
Sardar Azmoun,Forward,23,47,99,1.86
Jürgen Säumel,Midfielder,33,16,311,1.8
Richmond Yiadom Boakye,Forward,25,38,163,1.86
Kelechi Iheanacho,Forward,21,22,47,1.87
Spyridon Risvanis,Centre Back,24,2,67,1.94
Endogan Adili,Midfielder,23,9,49,1.7
Fyodor Mikhailovich Smolov,Winger,28,59,207,1.87
Simone Padoin,Defender,33,22,395,1.79
Carles Busquets Barroso,Goalkeeper,50,0,251,1.81
Lucas João,Forward,24,27,119,1.92
Marc Kevin Albrighton,Midfielder,28,12,163,1.75
Yoann Miguel Gourcuff,Midfielder,31,52,333,1.86
Jürgen Prutsch,Midfielder,28,0,44,1.8
Yani Urdinov,Defender,26,5,118,1.8
Taner Ari,Defender,30,5,161,1.81
Iraneuton Sousa Morais Júnior,Defender,31,9,206,1.76
Aleksandr Kozlov,Forward,24,44,109,1.7
David N'Gog,Forward,28,50,230,1.9
Dimitrije Injac,Defensive midfielder,37,26,340,1.82
Javier Manquillo,Defender,23,0,101,1.8
Manuel Neuer,Goalkeeper,31,0,366,1.93
Riccardo Montolivo,Midfielder,33,37,486,1.82
Semih Kaya,Defender,27,4,174,1.83
Juan Manuel Insaurralde,Defender,33,28,280,1.87
Steve Sidwell,Midfielder,35,56,398,1.79
Ibrahima M'baye,Defender,23,3,59,1.87
Erich Sautner,Midfielder,26,13,127,1.7
András Dlusztus,Defender,29,1,84,1.88
Kelvin Wilson,Defender,32,4,323,1.88
Manuel Friedrich,Defender,38,43,429,1.89
Wéverton Pereira da Silva,Goalkeeper,30,0,337,1.86
Arvydas Novikovas,Midfielder,27,21,212,1.79
Cristian Galano,Forward,26,35,209,1.7
Manuel Agudo Durán,Midfielder,21,131,384,1.75
Andrea Poli,Midfielder,28,13,241,1.82
Hamdi Salihi,Striker,34,219,454,1.85
Daniel Tawiah Opare,Defender,27,11,166,1.73
Dustin Bomheuer,Defender,26,5,125,1.93
Mickaël Vincent André-Marie,Goalkeeper,38,0,629,1.84
Zymer Bytyqi,Forward,21,6,71,1.76
Arkadiusz Piech,Striker,32,63,181,1.71
Portu,Midfielder,25,17,210,1.78
Antonio Candreva,Midfielder,31,55,346,1.8
Albert Adomah,Winger,30,75,460,1.85
Alessio Romagnoli,Defender,23,3,105,1.88
Iñigo Martínez,Defender,26,15,240,1.81
Maximiliano Gastón López,Forward,33,90,351,1.89
Ján Mucha,Goalkeeper,35,0,231,1.89
Roland Gunther Linz,Forward,36,149,407,1.85
Callum Eddie Graham Wilson,Forward,26,53,142,1.8034
Claudio Marchisio,Midfielder,32,43,355,1.8
Christian Atsu,Midfielder,26,24,135,1.72
Salomón Rondón,Forward,28,120,345,1.86
Edigar Junio Teixeira Lima,Forward,27,23,85,1.74
Kyriakos Papadopoulos,Defender,26,10,133,1.83
Thomas Müller,Midfielder,28,108,279,1.86
William Vainqueur,Midfielder,29,8,232,1.79
Davide Callà,Midfielder,34,72,335,1.74
Marco Capuano,Defender,26,1,127,1.85
Nir Biton,Midfielder,26,22,219,1.96
Jean-Armel Kana-Biyik,Defender,28,7,193,1.83
Juan Manuel Iturbe Arévalos,Forward,24,24,147,1.72
Carlos David Lizarazo Landazury,Attacking midfielder,28,14,82,1.71
Fabio Strauss,Defender,23,0,80,1.95
Bruno Zuculini,Midfielder,24,12,118,1.82
Matthew Thomas Ritchie,Midfielder,28,75,315,1.73
Luke Michael Norris,Forward,24,25,119,1.82
Sascha Horvath,Midfielder,21,9,73,1.65
Christoph Leitgeb,Attacking midfielder,32,22,299,1.72
João Carlos Pinto Chaves,Defender,36,27,343,1.89
Yussuf Yurary Poulsen,Forward,23,44,158,1.93
Françoaldo Sena de Souza,Forward,42,98,295,1.83
Sébastien Frey,Goalkeeper,37,0,503,1.89
Gary Hooper,Forward,30,175,401,1.8
Sverrir Ingi Ingason,Defender,24,8,135,1.88
Zinedine Ferhat,Midfielder,25,11,156,0
Emil Larsen,Midfielder,26,43,219,1.81
Andrea Dossena,Defender,36,10,340,1.8034
Xavier Margairaz,Midfielder,34,53,349,1.85
Valter Birsa,Midfielder,31,58,333,1.84
Marcio de Souza Gregório Júnior,Midfielder,31,29,155,1.8
Maciej Wilusz,Defender,29,3,138,1.88
Jorge Emmanuel Torres Nilo,Defender,30,6,352,1.8
Matthias Zimmermann,Defender,25,10,221,1.76
Gastón Sauro,Defender,28,3,90,1.9
Simeon Alexander Jackson,Forward,30,113,408,1.72
Benjamin Lüthi,Defender,29,2,74,1.8
Alan Santos,Midfielder,26,5,78,1.82
Mohammed Abubakari,Midfielder,32,11,189,1.78
Mark O'Hara,Defender,22,2,96,1.91
Noureddine Amrabat,Midfielder,30,52,309,1.78
Florian Hart,Right-back,27,5,195,1.76
Lars Stindl,Forward,29,51,271,1.8
Payam Sadeghian Sharafabad,Midfielder,26,31,152,1.71
Daniel Gosling,Midfielder,28,14,156,1.78
Sergio Ramos García,Defender,31,48,422,1.83
Wahbi Khazri,Midfielder,27,57,261,1.82
Tobias Sippel,Goalkeeper,29,0,206,1.8
Jean Evrard Kouassi,Winger,23,25,100,1.74
Gheorghe Teodor Grozav,Midfielder,27,42,201,1.88
Tom Trybull,Midfielder,25,3,117,1.81
Levon Hayrapetyan,Defender,28,3,130,1.78
Ayoze Pérez Gutiérrez,Forward,24,42,163,1.79
Javier Espinosa,Midfielder,25,18,165,1.74
Markus Steinhöfer,Defender,32,17,298,1.75
Héldon Augusto Almeida Ramos,Midfielder,29,48,248,1.74
Christopher Quiring,Midfielder,27,21,136,1.72
Recep Niyaz,Midfielder,23,41,145,1.64
Denis Tonucci,Defender,29,7,166,1.82
Sidney Sam,Forward,30,49,235,1.74
Andreas Wolf,Defender,35,9,252,1.82
José Leonardo Ulloa,Forward,31,120,352,1.85
Christian Bolaños Navarro,Midfielder,33,60,447,1.75
Vasilios Koutsianikoulis,Forward,29,33,247,1.68
Anastasios Donis,Midfielder,21,7,47,1.78
Mathias Fetsch,Forward,29,52,230,1.89
Ikechukwu Uche,Forward,34,119,402,1.71
Sascha Mölders,Forward,32,137,312,1.87
John Ruddy,Goalkeeper,31,0,345,1.8288
Marco Fabián,Midfielder,28,84,296,1.7
Franck Henry Pierre Ribéry,Midfielder,34,112,481,1.7
Everton Ribeiro,Midfielder,28,37,232,1.74
Gilman Lika,Midfielder,31,38,318,1.79
Daniel João Santos Candeias,Midfielder,30,36,259,1.77
David Martins Simão,Midfielder,27,25,192,1.83
Itumeleng Khune,Goalkeeper,30,0,296,1.8
Juraj Kucka,Midfielder,31,39,354,1.86
Alessandro Riedle,Forward,26,7,81,1.79
Raúl Bobadilla,Forward,30,84,252,1.81
Max Reinthaler,Midfielder,22,5,11,1.93
Georgios Samaras,Forward,33,97,430,1.92
Marcin Komorowski,Defender,33,12,170,1.86
Leonidas Panagopoulos,Goalkeeper,31,0,98,1.87
Morgan De Sanctis,Goalkeeper,40,0,553,1.9
Grzegorz Sandomierski,Goalkeeper,28,0,161,1.96
Michael Rensing,Goalkeeper,33,0,301,1.9
Marco Asensio,Midfielder,22,28,135,1.8
Vladimír Darida,Midfielder,27,33,204,1.7
Marko Pjaca,Forward,22,29,128,1.83
Carlos Gruezo,Midfielder,22,5,148,1.71
Marvin Ducksch,Forward,24,47,126,1.88
Andrés Iniesta Luján,Midfielder,33,40,460,1.71
Dennis Praet,Midfielder,23,21,165,1.81
Luka Krajnc,Defender,23,2,96,1.88
Cédric Bakambu,Forward,26,51,193,1.83
Marc Rzatkowski,Midfielder,28,28,194,1.71
Anthony Joran Martial,Forward,22,44,123,1.84
Dominik Kohr,Midfielder,24,4,115,1.83
Kalidou Koulibaly,Defender,26,5,183,1.87
Willy Caballero,Goalkeeper,36,0,342,1.86
Jeison Fabián Murillo Cerón,Defender,25,13,210,1.83
Ziri Hammar,Midfielder,25,4,36,1.82
Khouma Babacar,Forward,24,39,140,1.91
Tijani Belaïd,Midfielder,30,29,176,1.8
Anton Monakhov,Defender,36,19,266,1.92
Mariano Andújar,Goalkeeper,34,0,363,1.94
Loret Sadiku,Defender,26,7,169,1.85
Reece Brown,Defender,26,1,99,1.8796
Alessio Cragno,Goalkeeper,23,0,96,1.84
André-Pierre Christian Gignac,Forward,32,153,408,1.87
Jens Grahl,Goalkeeper,29,0,161,1.93
Ivan Perišić,Midfielder,29,83,292,1.86
Mark Schwarzer,Goalkeeper,45,0,749,1.94
Piotr Parzyszek,Forward,24,45,108,1.9
David de Paula,Midfielder,33,59,384,1.76
Sam Ricketts,Defender,36,14,554,1.85
Amr Gamal,Striker,26,19,56,1.81
Stefan Thesker,Defender,26,3,92,1.9
Ian Harte,Defender,40,85,522,1.75
Santiago Damian García Correa,Forward,27,75,156,1.81
Silvan Widmer,Defender,25,18,181,1.82
Jason David Ian Puncheon,Midfielder,31,59,376,1.73
Pavle Popara,Midfielder,30,18,187,1.77
Kjell Pär Oskar Ericsson,Forward,29,61,219,1.83
Marco Bizot,Goalkeeper,27,0,100,1.94
Taxiarchis Fountas,Midfielder,22,13,107,1.7
Pablo Aimar,Midfielder,38,78,478,1.7
Chris Mavinga,Defender,26,0,110,1.83
Jamaal Lascelles,Defender,24,7,103,1.88
Valentino Lazaro,Attacking midfielder,21,9,94,1.8
Nikolaos Karelis,Forward,26,60,192,1.74
Mitchell Donald,Defensive midfielder,29,29,222,1.85
Issiaka Ouédraogo,Forward,29,31,179,1.79
Iago Falque,Midfielder,28,41,163,1.74
Collins John,Forward,32,46,218,1.8034
Stijn Schaars,Midfielder,34,17,301,1.77
Steven McManaman,Winger,46,58,445,1.8542
Kwesi Appiah,Forward,27,45,113,1.8034
Marcos Rocha,Defender,29,14,191,1.84
Alibek Alievich Aliev,Forward,21,2,20,1.89
Darren Fletcher,Midfielder,34,22,288,1.83
Gnaly Maxwel Cornet,Forward,21,32,108,1.79
Victor Anichebe,Forward,29,27,202,1.91
Eran Zahavi,Midfielder,30,153,319,1.81
Michail Antonio,Midfielder,27,54,241,1.8034
Krystian Bielik,Midfielder,20,3,18,1.93
Andreas Hugo Hoelgebaum Rayhan Pereira,Midfielder,22,13,39,1.77
Mohamed Fares,Forward,22,0,14,0
Benedikt Höwedes,Defender,30,11,250,1.87
Gerard Badía,Midfielder,28,20,259,1.76
Facundo Sebastián Roncaglia,Defender,31,10,251,1.79
Steven Gerrard,Midfielder,37,147,654,1.8288
Ragnar Klavan,Defender,32,17,395,1.87
Jordan Perez,Goalkeeper,31,0,14,1.85
Rodrigo Caio Coquette Russo,Defender,24,8,109,1.82
José Giménez,Defender,23,6,96,1.85
Jonathan Calleri,Forward,24,25,81,1.79
Rúben Diogo da Silva Neves,Midfielder,20,5,93,1.8
Doneil Henry,Defender,24,3,107,1.88
Thomas Prager,Midfielder,32,14,246,1.74
Valeri Emilov Bojinov,Forward,32,92,371,1.78
Rickie Lee Lambert,Forward,36,219,608,1.87
Rolando Aarons,Winger,22,4,23,1.75
Artem Sergeyevich Dzyuba,Striker,29,92,270,1.96
Gustavo Henrique Vernes,Defender,24,3,74,1.93
Welker Marçal Almeida,Forward,31,85,185,1.8
Daniel Kenedy,Defender,44,25,353,1.81
Guido Carrillo,Forward,26,32,151,1.87
Gabriel Armando de Abreu,Defender,27,2,141,1.87
Otar Kakabadze,Defender,22,4,88,1.85
Jack Cork,Midfielder,28,10,340,1.8288
Frederick John Woodman,Goalkeeper,21,0,35,1.86
Medhi Amine El Mouttaqi Benatia,Defender,30,16,277,1.9
Xavier Hernández Creus,Midfielder,38,68,620,1.7
Juan Miguel Jiménez López,Forward,24,35,168,1.69
Lucas Rafael Araújo Lima,Midfielder,27,17,148,1.75
Mathew David Ryan,Goalkeeper,25,0,213,1.84
Renato Cajá,Midfielder,33,55,293,1.73
Douglas Costa de Souza,Midfielder,27,42,227,1.72
Aleix Vidal,Defender,28,36,244,1.76
Rubén Alejandro Botta Montero,Midfielder,28,15,145,1.75
Jo Inge Berget,Midfielder,27,54,213,1.86
Nabil Fekir,Midfielder,24,34,130,1.73
Rodrigo Pimpão,Forward,30,48,174,1.78
Aaron Justin Lennon,Midfielder,30,34,365,1.651
Adam Federici,Goalkeeper,33,1,295,1.88
Matthew Lowton,Defender,28,13,190,1.8034
Luan Guilherme de Jesus Vieira,Forward,24,26,85,1.8
Kyle Naughton,Defender,29,6,235,1.8034
Pablo Álvarez,Defender,33,2,238,1.76
Tyrone Deon Mings,Defender,24,3,68,1.9558
Paulo Dybala,Forward,24,60,177,1.76
Denys Boyko,Goalkeeper,30,0,198,1.94
Alexandre Rodrigues da Silva,Forward,28,109,271,1.8
Loïc Perrin,Defender,32,23,290,1.8
Luciano Vietto,Forward,24,36,129,1.74
Arshak Rafaelyevich Koryan,Midfielder,22,15,41,1.69
Sandro Ramírez,Forward,22,34,97,1.75
Felipe Gedoz,Attacking midfielder,24,16,84,1.77
Kieran Trippier,Defender,27,8,232,1.778
James Grant Chester,Defender,29,9,217,1.8
Alex Nicolao Telles,Defender,25,6,103,1.81
Marek Hamšík,Midfielder,30,98,411,1.83
Lucas Pratto,Forward,29,74,253,1.87
Massimo Luongo,Midfielder,25,18,160,1.76
Edward James Bishop,Midfielder,21,1,33,0
Ádám Bogdán,Goalkeeper,30,0,154,1.95
Pablo Armero,Midfielder,31,13,330,1.74
Ramiro Ángel Carrera,Midfielder,24,12,56,1.82
Ben Gladwin,Midfielder,25,25,132,1.9
Glen McLeod Cooper Johnson,Right-back,33,16,404,1.8288
Wesley Hoedt,Defender,24,3,65,1.92
Claudio Beauvue,Forward,29,63,275,1.74
Chris Smalling,Defender,28,9,174,1.93
Abdul Majeed Waris,Winger,26,52,149,1.72
Timothy Michael Ream,Defender,30,3,245,1.8542
Andrew Little,Forward,28,46,114,1.84
Sylvain Distin,Defender,40,15,587,1.93
Ivan Toney,Forward,21,15,79,0
Samir Nasri,Midfielder,30,63,372,1.75
Clinton N'Jie,Forward,24,29,124,1.75
Ramadan Sobhi,Midfielder,20,21,87,1.83
Jordan Marcel Gilbert Veretout,Midfielder,25,19,190,1.77
Calvin Anele Ngcongca,Right back,30,13,344,1.8
Marcelo,Forward,48,108,384,1.85
Robbie Brady,Defender,26,16,177,1.75
Dame N'Doye,Forward,33,124,330,1.86
Omer Damari,Forward,28,109,300,1.82
Lucas,Midfielder,31,9,302,1.79
Roman Zobnin,Midfielder,24,2,89,1.82
Luiz Rhodolfo Dini Gaioto,Defender,31,7,290,1.93
Mason Holgate,Defender,21,1,32,1.84
David Ospina,Goalkeeper,29,0,393,1.83
Jakob Haugaard,Goalkeeper,25,0,52,1.99
Marko Livaja,Forward,24,24,102,1.8288
Ademola Lookman,Winger,21,8,43,1.74
Jemerson de Jesus Nascimento,Defender,25,13,93,1.84
Adama Traoré,Winger,28,6,175,1.7
Ben Chilwell,Defender,21,1,20,1.78
Alex Pritchard,Attacking midfielder,24,18,106,1.71
Naby Leye Keïta,Midfielder,23,24,97,1.72
Bernard Berisha,Midfielder,26,27,165,1.74
Loris Karius,Goalkeeper,24,0,126,1.89
Simon Ivar Alexander Skrabb,Midfielder,23,14,131,1.72
Bubacarr Sanneh,Defender,23,6,48,0
Anthony Koura,Striker,24,41,145,1.8
Jamie Carragher,Defender,40,6,577,1.8288
Vid Belec,Goalkeeper,27,0,116,1.92
Wissam Ben Yedder,Forward,27,90,209,1.7
Fuka-Arthur Masuaku Kawela,Defender,24,2,88,1.79
Lucas Tousart,Midfielder,20,2,74,1.85
Ezekiel Henty,Forward,24,17,77,1.84
Gabriel Boschilia,Midfielder,22,16,58,1.72
Lewis James Grabban,Forward,30,83,301,1.83
Goran Lovre,Midfielder,35,33,230,1.9
Oscar Hiljemark,Midfielder,25,18,205,1.85
Lucas Nicolás Alario,Striker,25,23,79,1.81
Benik Tunani Afobe,Forward,25,67,188,1.83
Jordan Kevin Amavi,Defender,24,8,105,1.76
Paolo Mauricio Lemos Merladett,Defender,22,2,68,1.84
Jean-Christophe Bahebeck,Centre forward,24,18,111,1.82
Ederson Honorato Campos,Midfielder,32,37,255,1.81
N'Golo Kanté,Midfielder,26,9,169,1.69
Florentin Matei,Attacking midfielder,24,12,93,1.75
Samuel Bastien,Midfielder,21,2,36,1.72
Kemar Roofe,Forward,25,25,86,1.778
Walace Souza Silva,Midfielder,22,0,66,1.88
Ryan Glen Mason,Midfielder,26,16,142,1.7526
Chancel Mbemba,Defender,23,7,128,1.82
Elbasan Rashani,Forward,24,14,130,1.81
Kehinde Fatai,Forward,28,72,222,1.8
Rico Henry,Defender,20,2,48,1.74
Michael Carrick,Midfielder,36,29,519,1.88
James Daniel Maddison,Attacking Midfielder,21,7,40,1.75
Romaine Sawyers,Midfielder,26,24,175,1.86
Aïssa Mandi,Defender,26,16,204,1.86
Jordan Pickford,Goalkeeper,24,0,148,1.85
Joe Allen,Midfielder,27,19,256,1.68
Natanael,Defender,27,1,124,1.66
Tom Heaton,Goalkeeper,31,0,288,1.8542
Franco Vázquez,Midfielder,29,46,225,1.87
Ryan Anthony Taylor,Defender,33,26,254,0
Vasyl Myronovych Pryima,Defender,26,6,159,1.85
Delvin Chanel N'Dinga,Midfielder,29,17,278,1.81
Mario Suárez Mata,Midfielder,31,27,331,1.88
Timo Gebhart,Midfielder,28,13,167,1.82
Diego Fabbrini,Midfielder,27,14,188,1.82
Riyad Mahressa,Midfielder,27,62,266,1.78
Jamie Vardy,Forward,31,113,225,1.778
Adam James Matthews,Defender,26,7,220,1.78
Raúl Jiménez,Forward,26,54,208,1.9
Leandro Montera da Silva,Forward,33,129,247,1.76
Cani,Midfielder,36,43,454,1.
Odion Ighalo,Forward,28,87,256,1.88
Wellington Silva,Forward,25,12,145,1.73
Emre Mor,Midfielder,20,8,48,1.68
Raúl Albentosa Redal,Defender,29,22,196,1.93
Rolan Aleksandrovich Gusev,Right midfielder,40,64,367,1.8
David Babunski,Midfielder,24,7,88,1.74
Fabricio Coloccini,Defender,36,23,506,1.8288
Achraf Lazaar,Defender,26,3,127,1.74
James Perch,Defender,32,16,367,1.8
Kingsley Coman,Forward,21,8,85,1.78
Carlos Sánchez,Midfielder,33,42,335,1.71
Damien Da Silva,Defender,29,6,223,1.83
Daniele Rugani,Defender,23,9,130,1.9
Emmanuel Emenike,Forward,32,90,239,1.82
Cédric,Defender,26,3,144,1.72
Younousse Sankharé,Midfielder,28,25,255,1.84
Nelson Bonilla,Forward,27,53,165,1.78
Demarai Gray,Winger,21,12,99,1.778
Pablo Javier Zabaleta Girod,Defender,33,23,451,1.78
Jesse Ellis Lingard,Midfielder,25,17,92,1.524
Roberto Soriano,Midfielder,27,21,185,1.82
Elmir Ramilevich Nabiullin,Defender,23,2,57,1.74
Miller Alejandro Bolaños Reasco,Forward,27,77,251,1.7
Nathan Antone Jonah Dyer,Midfielder,30,28,315,1.65
Alex Oxlade-Chamberlain,Centre midfielder,24,21,154,1.8
Jonny Evans,Defender,30,9,228,1.89
Vincent Petrus Anna Sebastiaan Janssen,Forward,23,59,119,1.8
Joe Mason,Forward,26,50,211,1.778
Asamoah Gyan,Forward,32,211,390,1.86
José Mauri,Midfielder,21,4,46,1.69
Seko Fofana,Midfielder,22,13,89,1.83
José Luís Mendes Andrade,Forward,27,56,160,1.85
Thomas Lemar,Midfielder,22,12,88,1.7
Steven Mitchell Birnbaum,Defender,27,6,86,1.88
Pablo Sarabia,Midfielder,25,35,211,1.77
Sofiane Boufal,Midfielder,24,23,120,1.75
Hiram Boateng,Midfielder,22,1,29,1.83
Rafael Tolói,Defender,27,9,206,1.85
Erick Pulgar,Defender,24,9,94,1.86
Fábio Tavares,Defender,24,12,148,1.88
Jordan Ikoko,Defender,24,3,144,1.76
Jordon Ashley Femi Ibe,Midfielder,22,12,95,1.76
Michael Anthony James Hector,Defender,25,13,211,1.93
Matteo Darmian,Defender,28,5,219,1.82
Abou Diaby,Midfielder,31,16,170,1.92
Gastón Rodrigo Pereiro López,Midfielder,22,31,88,1.88
Roberto Maximiliano Pereyra,Midfielder,27,13,194,1.82
Steliano Filip,Midfielder,23,6,117,1.74
Thomas Delaney,Midfielder,26,17,181,1.82
João Carlos Vilaça Teixeira,Midfielder,25,8,53,1.77
Simon Robert Kroon,Midfielder,24,8,81,1.8
Imoh Ezekiel,Striker,24,42,125,1.78
Charles Joseph John Hart,Goalkeeper,30,0,465,1.9558
Nampalys Mendy,Defensive midfielder,25,1,221,1.68
Luke Brattan,Midfielder,28,6,101,1.83
Oğuzhan Özyakup,Midfielder,25,31,146,1.78
Håkan Gustaf Nilsson,Forward,20,13,43,1.97
Nils Petersen,Forward,29,109,308,1.88
Kiko Casilla,Goalkeeper,31,0,261,1.91
Maciej Rybus,Defender,28,34,254,1.73
Jonathan Bamba,Midfielder,21,5,44,0
Erfan Zeneli,Midfielder,31,54,260,1.68
Kim Aabech,Midfielder,34,107,325,1.88
Víctor Machín Pérez,Midfielder,28,51,247,1.83
Mohamed Yattara,Forward,24,35,165,1.85
Ben Heneghan,Defender,24,6,93,0
Oumar Niasse,Forward,27,129,249,1.82
Blagoy Zhorev Georgiev,Midfielder,36,68,466,1.84
Andre Gray,Forward,26,126,276,1.778
Miguel Ángel Britos Cabrera,Defender,32,11,234,1.88
Alan Judge,Midfielder,29,50,282,1.524
Javier Matilla,Midfielder,29,24,202,1.76
Gabriel Fernando de Jesus,Forward,20,26,62,1.77
Alex Teixeira Santos,Midfielder,28,91,230,1.73
Maxi Pereira,Defender,33,42,483,1.73
Karim Ramadan Hafez,Defender,23,2,51,0
Rachid Ghezzal,Midfielder,25,22,126,1.82
Bersant Eduar Celina,Midfielder,21,3,20,1.73
Alberto Aquilani,Midfielder,33,33,346,1.86
Romain Thomas,Defender,29,15,218,1.93
Pedro Jorge Marques Pereira,Forward,34,52,335,1.75
Marquinho,Defender,31,39,243,1.82
Maryan Vasylyovych Shved,Midfielder,20,6,21,1.71
Thibaut Courtois,Goalkeeper,25,0,264,0
Mousa Dembélé,Midfielder,30,47,359,1.85
Lewis Dunk,Centre back,26,9,135,1.9304
Felipe,Defender,33,6,251,1.88
Renato Júnior Luz Sanches,Midfielder,20,10,91,1.76
Bruno Ferreira Bonfim,Midfielder,29,65,257,1.76
Thilo Kehrer,Defender,22,0,14,1.85
Simone Zaza,Striker,26,54,156,1.86
Kemy Agustien,Midfielder,31,10,240,1.78
Iñaki Williams Arthuer,Forward,23,40,111,1.86
Eric Fernando Botteghin,Defender,30,23,305,1.93
Stefano Sturaro,Midfielder,25,5,84,1.81
Andre Alexander Shaquille Wisdom,Defender,24,3,110,1.86
Marco Amelia,Goalkeeper,35,1,297,1.9
Kelechi Nwakali,Forward,19,3,9,0
Jack Grealish,Midfielder,22,14,94,1.7526
Ömer Toprak,Defender,28,11,229,1.86
Jonathan Mensah,Defender,27,6,160,1.88
Matt Miazga,Defender,22,1,49,1.93
Alex Smithies,Goalkeeper,28,0,292,1.905
Steven Berghuis,Winger,26,28,127,1.83
Felipe Avenatti,Forward,24,25,102,1.96
Jordan Bernard Rossiter,Midfielder,20,1,11,1.778
Steve Mandanda,Goalkeeper,32,0,449,1.85
Mohamed Elneny,Midfielder,25,18,246,1.8
Oussama Tannane,Midfielder,23,18,75,1.77
Breel Donald Embolo,Forward,21,24,79,1.85
Alain Traoré,Forward,30,58,181,1.76
Geferson Cerqueira Teles,Defender,23,0,19,1.81
Hirving Lozano,Midfielder,22,36,118,1.77
Tunde Adeniji,Forward,22,56,114,1.85
Jonas Hector,Defender,27,24,250,1.85
Andrei Virgil Ivan,Attacking midfielder,21,12,74,1.89
Thomas Christopher Ince,Midfielder,26,60,218,1.78
Libor Kozák,Forward,28,44,177,1.92
Adrien Regattin,Midfielder,26,11,137,1.66
Anwar El Ghazi,Midfielder,22,26,74,1.88
Tommy Elphick,Defender,30,13,323,1.8034
Nathan Redmond,Midfielder,24,23,209,1.7272
Mamadou Lamine Diawara,Forward,28,9,54,1.92
Daniel Bentley,Goalkeeper,24,0,146,1.9304
Alisson,Goalkeeper,25,0,64,1.93
Marcos Evangelista de Morais,Defender,47,20,572,1.76
Gabriel Mercado,Defender,30,19,281,1.8
Luis Arturo Hernández Carreón,Forward,49,174,501,1.75
Ghayas Zahid,Midfielder,23,24,117,0
Aaron Tshibola,Midfielder,23,1,41,1.9
Reece Joel Oxford,Centre-back,19,1,30,1.91
Jon-Miquel Toral Harper,Midfielder,23,14,71,1.84
Lamine-Gueye Koné,Defender,29,13,249,1.86
Diego Sebastián Laxalt Suárez,Midfielder,25,8,81,1.77
Kieran Tierney,Defender,20,2,38,1.78
Rodrigo Ely,Centre Back,24,1,113,1.88
Tammy Abraham,Forward,20,17,36,1.93
Seydouba Soumah,Midfielder,26,44,152,1.61
Eric Bailly,Defender,23,0,86,1.87
Ricardo Carvalho,Defender,39,25,531,1.83
Mario Budimir,Forward,32,47,245,1.93
Marc Wilson,Defender,30,4,213,1.88
Jonathan Kodjia,Forward,28,57,173,1.89
Alberto Bueno Calvo,Forward,29,86,314,1.78
Djibril Sidibé,Defender,25,9,155,1.82
Robin Quaison,Midfielder,24,19,143,1.8
Mile Jedinak,Midfielder,33,59,457,1.89
Ikechi Anya,Midfielder,30,30,302,1.68
Thomas Henry Alex Robson-Kanu,Midfielder,28,35,249,1.8542
Alfonso Pedraza Sag,Midfielder,21,13,59,1.82
Abdoul Camara,Forward,28,19,226,1.77
Michael Vincent Keane,Defender,25,11,125,1.905
Jakub Brabec,Defender,25,11,142,1.86
Jan Oblak,Goalkeeper,25,0,161,1.89
